subscriber_id,account_id,email,subscription_status,date_added
e8f86db3-7d6a-45ec-87af-a9d5eb0ffc44,f4ca84ba-d357-40c2-85c7-8a2871af4104,nicolejacobs@hotmail.com,active,2025-06-26 14:24:51
92842152-f95f-4f8a-bddd-10be5ed4e469,a56c9d52-3d63-4a43-bbc5-db0474f3ba48,shawkyle@jenkins.net,active,2025-02-12 18:45:40
6c2e7086-cb4e-4ea2-96eb-153256387eaf,cd874127-fec9-41f1-a62c-069dfcb5eaae,smithstephanie@hotmail.com,active,2025-01-30 13:17:05
d68e2644-9cfd-425b-ac25-1656cb3d0f2e,ab785ac7-2ba9-40ee-8290-0568194ec929,nicolerobinson@gmail.com,unsubscribed,2025-03-31 15:31:41
c468efd2-0c58-46fd-8393-e0a016f4b34a,02496205-3d79-4bb1-8b14-f8b3c9772a42,torresamy@murphy.biz,bounced,2025-01-10 17:09:14
04335301-4a62-488b-be69-259cbd3d2704,56c1b53c-12d7-4ae1-9d2d-16e1000394fa,jasonpierce@duncan.com,unsubscribed,2025-02-11 07:29:35
6c3a3da5-cf62-4f6a-b9fd-9ac5ca21df53,d0b80a3a-1a51-4725-bcbb-58d889706176,rlove@kelly-smith.com,unsubscribed,2025-01-29 17:18:38
6202c0ef-0887-406c-9d13-832fc07bed8c,bac0a763-1144-4a9b-8e21-07ebf8eecfee,lisa55@rogers-king.com,active,2025-05-29 08:01:06
b248fe4e-ee0c-478c-908d-8aae769b47ad,1d4301e3-08d4-423b-85e2-0ff42d5c3130,justin93@schwartz-perry.com,active,2025-04-05 22:59:59
1042e3d3-0666-4515-8221-fe509d2ac4f1,13d21b76-9017-4b3f-bd73-87a1ee62bf12,saraharris@woodard.com,unsubscribed,2025-06-13 19:48:40
0397fc4d-d06f-4e06-beec-80ecfb7f5be5,37383f5f-1fd2-4692-952e-bc2fc9892545,phillip35@yahoo.com,unsubscribed,2025-05-10 00:38:58
94426244-c8f4-4ab2-9055-d294232f6f72,6bf7c6d5-3c09-40d9-a61c-540f89f8eb13,epowell@yahoo.com,active,2025-05-03 01:42:06
ac0c566c-9657-43ac-a2d1-9cd51428cb79,2a837be9-9845-47d1-bb4f-ec1225ddfa7b,michael75@guzman.biz,unsubscribed,2025-05-27 13:39:59
00d7e5a3-19f6-4232-aa5d-163cfb6e8e89,b34bce24-a855-4299-aebd-c8f88e391e6a,pparker@gallagher.org,bounced,2025-01-29 12:32:14
5460e701-9fe4-452a-aa4f-450028206db6,2ecc342f-ae37-4b22-9b98-9e404c83b902,xpierce@harris-stevenson.info,bounced,2025-01-19 03:45:55
4b54d0d0-69c2-432f-aba6-0d2e4b757057,9e0c1db2-2bf8-4366-8342-5622d3756e8b,matthewtaylor@clayton-andrews.biz,bounced,2025-05-25 12:35:30
96d62145-8973-4fac-9761-99a826955f92,942c6b24-e5c0-4892-b56b-ae516bc683ca,jasonbartlett@crawford.com,bounced,2025-06-19 17:42:20
bea8a953-240a-41ee-b4fd-61d3de590077,10fd0599-1865-44ca-a61e-d33d214c8c38,davidwilson@hotmail.com,bounced,2025-06-27 03:57:01
8edab7c0-8f63-41c9-adfb-2d5232657280,448e903d-33e2-4a59-a757-bc78c1c24010,samuel16@yahoo.com,active,2025-06-25 15:17:24
373d7d5c-ef9f-4611-a5bf-b2b28e164a2d,37e040e8-d408-423f-bb86-aa69b22cf765,shaffermichael@yahoo.com,active,2025-02-10 08:14:11
c8b9ccf1-4bdc-4799-86a6-2f24086d990e,bd00a94b-e9cc-466f-b5f9-95ff7da81076,michaelwilliams@wise.com,unsubscribed,2025-03-14 00:04:38
d7d1bca4-0332-4f64-af23-7d8c2d64acad,0b4acae8-d12a-474c-b2dc-94888f0f7b04,roserichard@gmail.com,bounced,2025-02-14 05:21:33
d8fdbd38-e1ca-4cbf-8510-1a5858d6a545,625f74ed-d283-4014-816c-6bf1c3c1923f,smithkimberly@gmail.com,active,2025-06-22 04:01:02
65fafee8-076d-435d-8010-5c4953d95ddd,e0680058-e7e6-40e4-85a2-ae9046da69d0,nicholasjacobs@yahoo.com,unsubscribed,2025-05-11 08:43:13
151277e3-822c-4f9f-8731-a33227531817,aeb9bb85-f1c0-487d-a509-57295244a056,shawnjohnson@bender-davis.org,bounced,2025-02-06 06:51:40
